parent_k,child_k,parent_id,child_id,similarity,rank,color,mode
5,6,K5_GEP1,K6_GEP1,0.9993192980578129,1,green,high
5,6,K5_GEP2,K6_GEP2,0.992478699894221,1,green,high
5,6,K5_GEP3,K6_GEP3,0.9983351745169147,1,green,high
5,6,K5_GEP4,K6_GEP4,0.9957569798918244,1,green,high
5,6,K5_GEP5,K6_GEP5,0.9972369115901326,1,green,high
5,6,K5_GEP3,K6_GEP6,0.4639578938569008,1,purple,low
5,6,K5_GEP5,K6_GEP6,0.22273760897863554,2,red,low
5,6,K5_GEP4,K6_GEP6,-0.013861961027594948,3,pink,low
6,7,K6_GEP2,K7_GEP1,0.9958678997038839,1,green,high
6,7,K6_GEP1,K7_GEP2,0.9319613189569635,1,green,high
6,7,K6_GEP3,K7_GEP3,0.9991587624016505,1,green,high
6,7,K6_GEP1,K7_GEP4,0.6738592594366263,1,purple,low
6,7,K6_GEP5,K7_GEP4,0.3202004225705274,2,red,low
6,7,K6_GEP4,K7_GEP4,0.06834488579556659,3,pink,low
6,7,K6_GEP4,K7_GEP5,0.9957430654983186,1,green,high
6,7,K6_GEP5,K7_GEP6,0.9916287178882,1,green,high
6,7,K6_GEP6,K7_GEP7,0.9868835982543797,1,green,high
7,8,K7_GEP1,K8_GEP1,0.9963619947546623,1,green,high
7,8,K7_GEP2,K8_GEP2,0.9880520710870155,1,green,high
7,8,K7_GEP3,K8_GEP3,0.9986608572346428,1,green,high
7,8,K7_GEP4,K8_GEP4,0.9956287915174231,1,green,high
7,8,K7_GEP5,K8_GEP5,0.961881298457361,1,green,high
7,8,K7_GEP6,K8_GEP6,0.9907209229653758,1,green,high
7,8,K7_GEP5,K8_GEP7,0.7952455206811515,1,purple,low
7,8,K7_GEP6,K8_GEP7,0.2549660590936896,2,red,low
7,8,K7_GEP4,K8_GEP7,0.16368449497863286,3,pink,low
7,8,K7_GEP7,K8_GEP8,0.9953006871597898,1,green,high
8,9,K8_GEP1,K9_GEP1,0.9993466750309307,1,green,high
8,9,K8_GEP2,K9_GEP2,0.9812682958360943,1,green,high
8,9,K8_GEP3,K9_GEP3,0.9991912452006761,1,green,high
8,9,K8_GEP4,K9_GEP4,0.9550287123594833,1,green,high
8,9,K8_GEP5,K9_GEP5,0.9970239017672544,1,green,high
8,9,K8_GEP2,K9_GEP6,0.8389996899341561,1,purple,low
8,9,K8_GEP4,K9_GEP6,0.5852995129131864,2,red,low
8,9,K8_GEP6,K9_GEP6,0.25746306373178174,3,pink,low
8,9,K8_GEP6,K9_GEP7,0.980321919431042,1,green,high
8,9,K8_GEP7,K9_GEP8,0.9981163656293779,1,green,high
8,9,K8_GEP8,K9_GEP9,0.997336812897591,1,green,high
9,10,K9_GEP1,K10_GEP1,0.862183326419504,1,purple,low
9,10,K9_GEP5,K10_GEP1,0.06373306093008153,2,red,low
9,10,K9_GEP8,K10_GEP1,0.04488263597205145,3,pink,low
9,10,K9_GEP9,K10_GEP10,0.96670691928578,1,green,high
9,10,K9_GEP3,K10_GEP2,0.9974910577690612,1,green,high
9,10,K9_GEP2,K10_GEP3,0.986737735807403,1,green,high
9,10,K9_GEP6,K10_GEP4,0.9855714929422168,1,green,high
9,10,K9_GEP4,K10_GEP5,0.9693191712924285,1,green,high
9,10,K9_GEP5,K10_GEP6,0.9966122807050897,1,green,high
9,10,K9_GEP1,K10_GEP7,0.6455697902449911,1,purple,low
9,10,K9_GEP9,K10_GEP7,0.25796479057238636,2,red,low
9,10,K9_GEP3,K10_GEP7,0.18852847637763506,3,pink,low
9,10,K9_GEP7,K10_GEP8,0.9924575920830065,1,green,high
9,10,K9_GEP8,K10_GEP9,0.996438095368685,1,green,high
